"Donor","Pledges (USD)","Contributions (USD)"
"AIDS Healthcare Foundation","10000000","2000000"
"Abbott Fund","5000000","1667000"
"Absa Group Ltd","150000","150000"
"Anglo American plc","15500000","4125000"
"Australia","177552314.52","0"
"Belgium","29806259.31","14903129.65"
"Bill & Melinda Gates Foundation","926000000","304858941"
"Burkina Faso","1000000","0"
"Canada","904644379.62","301548126.54"
"Catholic Relief Services","3000000","0"
"Central African Republic","1000000","0"
"Children's Investment Fund Foundation","33000000","13950000"
"Comic Relief","6000000","1350000"
"Congo (Democratic Republic)","6000000","0"
"Cyprus","99354.19","99354.19"
"Côte d'Ivoire","2000000","0"
"Denmark","50098192.45","0"
"Eswatini","1000000","0"
"European Commission","710382513.66","523899488.52"
"France","1585692995.52","420915250.85"
"Germany","1291604570.29","412319920.5"
"Ghana","2000000","0"
"GlaxoSmithKline plc and Viiv Healthcare","9408997.34","5880623.33"
"Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA","5500000","0"
"Guinea","200000","0"
"India","25000000","8000000"
"Indonesia","10000000","1500000"
"Ireland","65325384.99","21609538"
"Italy","183805265.77","57575757.57"
"J.C. Flowers Foundation","1000000","1000000"
"Japan","1080000000","315783641"
"Johnson & Johnson Foundation","0","4500000"
"KN Cam Ranh Co., Ltd.","3000000","0"
"Kenya","10000000","0"
"Korea (Republic)","100000000","50000000"
"Kuwait","8500000","500000"
"Luxembourg","15350223.54","6557377.04"
"Malawi","1000000","0"
"Malta","149031.29","49677.09"
"McGovern Foundation","1000000","1000000"
"Medtronic LABS","100000","0"
"Monaco","397416.79","99354.19"
"Morocco","1283940.38","0"
"Netherlands","178837555.88","59612518.62"
"New Zealand","1472754.05","471281.29"
"Niger","1000000","136318.05"
"Nigeria","13200000","0"
"Norway","193183519.51","41148089.65"
"Other Private Sector","22622988","1727663"
"Other Public","14903129.65","0"
"Outcomes Fund for Fevers","25000000","0"
"PT. Kalbe Farma Tbk","1500000","500000"
"Paraguay","50000","0"
"Plan International and Plan Canada","2243661.65","0"
"Portugal","1490312.96","700447.07"
"Product (RED)","150000000","15839675"
"Qatar","50000000","10000000"
"Rockefeller Foundation","15000000","6000000"
"Rotary Australia World Community Service and Rotarians Against Malaria","4800000","0"
"Rwanda","3250000","0"
"SMJR Foundation","1000000","0"
"Saudi Arabia","39000000","13000000"
"Singapore","600000","200000"
"Skoll Foundation","10000000","4000000"
"South Africa","13000000","4300000"
"Spain","129160457","44709389"
"Sweden","274202983.32","77690845.27"
"Switzerland","66452081.81","21804589.34"
"Takeda Pharmaceutical","2617564.13","2617564.12"
"Tanoto Foundation","1000000","300000"
"Tanzania (United Republic)","1000000","997809.1"
"Thailand","3000000","1380465.91"
"Togo","1500000","0"
"Uganda","3000000","0"
"United Kingdom","1176124669.21","1000077393.7"
"United States","6000000000","0"
"Zimbabwe","1000000","0"
