measure,year,val
inclo,2011,139.8483
inclo,2012,140.8082
inclo,2013,142.5565
inclo,2014,173.5873
inclo,2015,182.35629
inclo,2016,193.19591
inclo,2017,194.0162
inclo,2018,186.93469
inclo,2019,181.9218
inclo,2020,176.07036
inclo,2021,176.94717
inclo,2022,174.45338
inclo,2023,168.03429
inc,2011,268.20609
inc,2012,257.8703
inc,2013,248.45419
inc,2014,243.4465
inc,2015,236.6763
inc,2016,225.3349
inc,2017,216.6624
inc,2018,208.3307
inc,2019,202.3069
inc,2020,195.28955
inc,2021,199.88348
inc,2022,199.36314
inc,2023,194.92372
inchi,2011,443.797
inchi,2012,411.1409
inchi,2013,387.72809
inchi,2014,331.94281
inchi,2015,301.98792
inchi,2016,265.47549
inchi,2017,243.7747
inchi,2018,234.24181
inchi,2019,228.96629
inchi,2020,224.50479
inchi,2021,231.93094
inchi,2022,235.48132
inchi,2023,231.66322
